order_id,order_date,customer_id,region,category,product_name,channel,quantity,unit_price,discount_amount,payment_method,is_returned
ORD-000001,2026-01-01,CUST-0378,서울,전자기기,무선이어폰,store,2,79000,0,card,false
ORD-000002,2026-01-01,CUST-0120,광주,식품,비타민음료,store,1,6000,0,card,false
ORD-000003,2026-01-01,CUST-0143,인천,식품,간편식,web,2,26000,1000,bank_transfer,true
ORD-000004,2026-01-01,CUST-0491,인천,스포츠,러닝벨트,mobile,3,39000,0,card,false
ORD-000005,2026-01-01,CUST-0136,인천,전자기기,모니터,web,3,25000,0,coupon,true
ORD-000006,2026-01-01,CUST-0425,대전,식품,커피,store,1,26000,2000,point,false
ORD-000007,2026-01-01,CUST-0396,부산,식품,간편식,web,1,6000,5000,bank_transfer,false
ORD-000008,2026-01-01,CUST-0084,부산,전자기기,모니터,mobile,4,79000,5000,bank_transfer,false
ORD-000009,2026-01-01,CUST-0274,대전,스포츠,운동밴드,web,5,12000,5000,bank_transfer,false
ORD-000010,2026-01-01,CUST-0432,인천,생활용품,청소도구,web,5,23000,0,bank_transfer,false
ORD-000011,2026-01-01,CUST-0468,광주,전자기기,마우스,store,3,150000,0,point,false
ORD-000012,2026-01-01,CUST-0072,경기,도서,네트워크실습,store,4,35000,0,point,false
ORD-000013,2026-01-01,CUST-0261,대구,스포츠,러닝벨트,web,3,59000,0,card,false
ORD-000014,2026-01-01,CUST-0198,대구,전자기기,키보드,store,4,45000,2000,coupon,false
ORD-000015,2026-01-01,CUST-0385,부산,식품,견과류,store,1,6000,5000,point,true
ORD-000016,2026-01-01,CUST-0489,대전,전자기기,마우스,store,2,150000,1000,point,false
ORD-000017,2026-01-01,CUST-0312,경기,식품,간편식,web,3,6000,5000,point,true
ORD-000018,2026-01-01,CUST-0476,부산,도서,클라우드입문,mobile,4,28000,0,bank_transfer,false
ORD-000019,2026-01-01,CUST-0418,서울,전자기기,키보드,store,1,320000,0,bank_transfer,false
ORD-000020,2026-01-01,CUST-0217,경기,도서,네트워크실습,store,3,22000,2000,bank_transfer,true
ORD-000021,2026-01-01,CUST-0232,서울,스포츠,운동밴드,web,3,59000,1000,bank_transfer,true
ORD-000022,2026-01-01,CUST-0302,경기,전자기기,마우스,web,5,25000,2000,card,false
ORD-000023,2026-01-01,CUST-0037,광주,스포츠,요가매트,web,1,24000,0,point,false
ORD-000024,2026-01-01,CUST-0296,대구,스포츠,러닝벨트,web,5,24000,0,coupon,true
ORD-000025,2026-01-01,CUST-0182,대구,생활용품,텀블러,mobile,1,9000,5000,coupon,false
ORD-000026,2026-01-01,CUST-0410,인천,스포츠,요가매트,web,1,12000,1000,bank_transfer,false
ORD-000027,2026-01-01,CUST-0143,대구,도서,파이썬기초,web,2,35000,1000,card,false
ORD-000028,2026-01-01,CUST-0475,인천,생활용품,수납박스,web,5,9000,0,bank_transfer,false
ORD-000029,2026-01-01,CUST-0085,대구,생활용품,청소도구,web,2,37000,1000,coupon,false
ORD-000030,2026-01-01,CUST-0339,대전,패션,가방,mobile,4,89000,5000,bank_transfer,true
ORD-000031,2026-01-01,CUST-0032,대전,도서,보안개론,mobile,1,22000,2000,card,true
ORD-000032,2026-01-01,CUST-0030,광주,전자기기,USB허브,web,5,150000,2000,bank_transfer,false
ORD-000033,2026-01-01,CUST-0483,광주,전자기기,USB허브,web,2,25000,1000,card,false
ORD-000034,2026-01-01,CUST-0162,부산,식품,커피,web,5,26000,2000,point,true
ORD-000035,2026-01-01,CUST-0235,부산,도서,보안개론,web,2,35000,5000,card,false
ORD-000036,2026-01-01,CUST-0136,경기,생활용품,수납박스,mobile,5,9000,0,card,true
ORD-000037,2026-01-01,CUST-0361,부산,도서,보안개론,store,2,28000,1000,card,true
ORD-000038,2026-01-01,CUST-0456,서울,스포츠,운동밴드,store,2,12000,0,bank_transfer,false
ORD-000039,2026-01-01,CUST-0259,대구,패션,자켓,mobile,3,49000,0,card,false
ORD-000040,2026-01-01,CUST-0395,경기,전자기기,모니터,store,1,79000,0,point,false
ORD-000041,2026-01-02,CUST-0039,대전,스포츠,러닝벨트,web,5,59000,0,card,false
ORD-000042,2026-01-02,CUST-0187,인천,패션,운동화,web,2,129000,0,point,false
ORD-000043,2026-01-02,CUST-0499,광주,도서,파이썬기초,store,3,15000,2000,bank_transfer,false
ORD-000044,2026-01-02,CUST-0378,부산,도서,파이썬기초,mobile,4,22000,0,bank_transfer,false
ORD-000045,2026-01-02,CUST-0114,경기,패션,운동화,mobile,4,19000,0,point,false
ORD-000046,2026-01-02,CUST-0205,부산,패션,운동화,mobile,1,49000,5000,card,false
ORD-000047,2026-01-02,CUST-0060,부산,패션,자켓,web,5,129000,0,point,false
ORD-000048,2026-01-02,CUST-0224,광주,전자기기,무선이어폰,store,4,320000,0,card,false
ORD-000049,2026-01-02,CUST-0001,광주,생활용품,텀블러,store,1,23000,5000,bank_transfer,false
ORD-000050,2026-01-02,CUST-0340,인천,패션,가방,web,3,19000,2000,point,false
ORD-000051,2026-01-02,CUST-0284,경기,식품,견과류,web,3,26000,1000,coupon,false
ORD-000052,2026-01-02,CUST-0208,광주,스포츠,러닝벨트,web,5,24000,2000,point,false
ORD-000053,2026-01-02,CUST-0239,대구,패션,운동화,mobile,5,129000,2000,bank_transfer,false
ORD-000054,2026-01-02,CUST-0340,대전,식품,비타민음료,store,1,11000,0,point,true
ORD-000055,2026-01-02,CUST-0013,서울,전자기기,키보드,web,2,79000,0,coupon,false
ORD-000056,2026-01-02,CUST-0100,대전,식품,커피,store,4,26000,5000,coupon,true
ORD-000057,2026-01-02,CUST-0458,인천,생활용품,청소도구,web,2,15000,5000,coupon,false
ORD-000058,2026-01-02,CUST-0470,인천,도서,파이썬기초,web,1,35000,2000,coupon,false
ORD-000059,2026-01-02,CUST-0219,인천,도서,네트워크실습,store,4,28000,2000,coupon,true
ORD-000060,2026-01-02,CUST-0393,인천,도서,네트워크실습,store,3,35000,0,coupon,false
ORD-000061,2026-01-02,CUST-0121,부산,스포츠,덤벨,mobile,4,39000,0,point,false
ORD-000062,2026-01-02,CUST-0356,경기,식품,커피,store,2,11000,0,bank_transfer,false
ORD-000063,2026-01-02,CUST-0213,서울,전자기기,모니터,web,3,150000,2000,coupon,false
ORD-000064,2026-01-02,CUST-0153,인천,생활용품,수납박스,mobile,4,37000,0,coupon,false
ORD-000065,2026-01-02,CUST-0249,서울,식품,간편식,mobile,2,26000,0,point,false
ORD-000066,2026-01-03,CUST-0274,서울,스포츠,러닝벨트,mobile,4,24000,0,card,true
ORD-000067,2026-01-03,CUST-0134,대구,전자기기,모니터,mobile,4,45000,0,bank_transfer,false
ORD-000068,2026-01-03,CUST-0130,인천,생활용품,책상조명,web,4,23000,0,coupon,false
ORD-000069,2026-01-03,CUST-0400,대전,전자기기,USB허브,web,3,25000,0,card,false
ORD-000070,2026-01-03,CUST-0065,대구,도서,파이썬기초,store,5,15000,0,card,false
ORD-000071,2026-01-03,CUST-0311,광주,식품,간편식,store,3,26000,0,card,false
ORD-000072,2026-01-03,CUST-0295,대전,도서,보안개론,mobile,5,15000,0,coupon,false
ORD-000073,2026-01-03,CUST-0053,대전,스포츠,덤벨,mobile,5,12000,5000,card,false
ORD-000074,2026-01-03,CUST-0036,광주,식품,커피,store,5,18000,1000,point,false
ORD-000075,2026-01-03,CUST-0326,인천,전자기기,모니터,mobile,1,150000,1000,bank_transfer,false
ORD-000076,2026-01-03,CUST-0239,대구,생활용품,텀블러,store,5,23000,2000,point,false
ORD-000077,2026-01-03,CUST-0385,대구,패션,운동화,store,3,19000,1000,coupon,false
ORD-000078,2026-01-03,CUST-0109,부산,패션,티셔츠,mobile,3,129000,0,point,false
ORD-000079,2026-01-03,CUST-0124,대전,패션,자켓,mobile,5,19000,0,coupon,false
ORD-000080,2026-01-03,CUST-0048,부산,식품,간편식,web,4,26000,1000,coupon,false
ORD-000081,2026-01-03,CUST-0284,광주,스포츠,덤벨,mobile,5,39000,0,coupon,false
ORD-000082,2026-01-03,CUST-0129,경기,스포츠,운동밴드,web,4,39000,0,bank_transfer,false
ORD-000083,2026-01-03,CUST-0142,대전,패션,티셔츠,store,2,49000,0,point,false
ORD-000084,2026-01-03,CUST-0155,서울,전자기기,키보드,store,2,79000,0,bank_transfer,false
ORD-000085,2026-01-03,CUST-0327,인천,패션,티셔츠,mobile,5,19000,0,card,false
ORD-000086,2026-01-03,CUST-0175,경기,전자기기,USB허브,web,4,79000,1000,point,false
ORD-000087,2026-01-03,CUST-0296,대전,생활용품,수납박스,store,4,9000,1000,card,false
ORD-000088,2026-01-03,CUST-0286,인천,도서,파이썬기초,mobile,1,28000,0,bank_transfer,false
ORD-000089,2026-01-03,CUST-0220,부산,식품,비타민음료,store,4,26000,0,card,true
ORD-000090,2026-01-03,CUST-0081,경기,식품,커피,web,2,11000,0,card,false
ORD-000091,2026-01-03,CUST-0241,부산,도서,클라우드입문,web,4,35000,5000,bank_transfer,true
ORD-000092,2026-01-03,CUST-0474,부산,패션,자켓,store,1,129000,5000,bank_transfer,false
ORD-000093,2026-01-03,CUST-0037,서울,생활용품,수납박스,web,2,15000,0,point,false
ORD-000094,2026-01-03,CUST-0359,대구,식품,견과류,mobile,1,26000,1000,coupon,false
ORD-000095,2026-01-03,CUST-0310,부산,생활용품,수납박스,web,4,9000,5000,card,false
ORD-000096,2026-01-03,CUST-0241,광주,도서,클라우드입문,store,5,28000,0,coupon,false
ORD-000097,2026-01-03,CUST-0179,대구,패션,운동화,mobile,4,129000,0,point,false
ORD-000098,2026-01-03,CUST-0148,대전,스포츠,요가매트,mobile,3,24000,1000,card,false
ORD-000099,2026-01-03,CUST-0497,인천,생활용품,수납박스,mobile,3,23000,0,card,false
ORD-000100,2026-01-03,CUST-0186,광주,스포츠,러닝벨트,mobile,1,59000,0,coupon,true
ORD-000101,2026-01-03,CUST-0225,대전,전자기기,키보드,mobile,5,79000,0,card,false
ORD-000102,2026-01-03,CUST-0008,광주,전자기기,USB허브,mobile,2,45000,0,card,true
ORD-000103,2026-01-03,CUST-0256,대전,도서,클라우드입문,mobile,1,35000,5000,point,false
ORD-000104,2026-01-03,CUST-0075,대구,생활용품,청소도구,web,2,37000,1000,bank_transfer,true
ORD-000105,2026-01-03,CUST-0421,서울,전자기기,마우스,mobile,3,150000,2000,point,false
ORD-000106,2026-01-03,CUST-0177,부산,식품,비타민음료,store,4,11000,2000,coupon,false
ORD-000107,2026-01-04,CUST-0439,인천,패션,운동화,mobile,5,49000,1000,card,false
ORD-000108,2026-01-04,CUST-0254,서울,패션,가방,web,4,129000,5000,point,false
ORD-000109,2026-01-04,CUST-0370,경기,전자기기,모니터,mobile,5,25000,1000,bank_transfer,false
ORD-000110,2026-01-04,CUST-0333,서울,전자기기,모니터,mobile,3,79000,2000,coupon,false
ORD-000111,2026-01-04,CUST-0324,대전,패션,가방,mobile,5,19000,0,bank_transfer,false
ORD-000112,2026-01-04,CUST-0228,경기,스포츠,요가매트,store,1,59000,5000,point,false
ORD-000113,2026-01-04,CUST-0192,대구,전자기기,무선이어폰,web,1,79000,0,bank_transfer,false
ORD-000114,2026-01-04,CUST-0313,인천,식품,비타민음료,mobile,2,11000,0,bank_transfer,false
ORD-000115,2026-01-04,CUST-0236,부산,생활용품,텀블러,store,4,15000,5000,card,false
ORD-000116,2026-01-04,CUST-0301,부산,생활용품,책상조명,store,1,15000,1000,coupon,false
ORD-000117,2026-01-04,CUST-0437,대구,스포츠,운동밴드,web,3,59000,0,bank_transfer,false
ORD-000118,2026-01-04,CUST-0141,서울,생활용품,책상조명,store,3,23000,0,card,false
ORD-000119,2026-01-04,CUST-0113,대전,식품,비타민음료,web,2,18000,2000,point,false
ORD-000120,2026-01-04,CUST-0018,광주,스포츠,덤벨,mobile,1,12000,0,bank_transfer,false
ORD-000121,2026-01-04,CUST-0068,인천,전자기기,마우스,store,4,79000,0,point,false
ORD-000122,2026-01-04,CUST-0383,인천,식품,견과류,mobile,3,11000,1000,card,false
ORD-000123,2026-01-04,CUST-0496,인천,생활용품,수납박스,store,2,15000,5000,point,false
ORD-000124,2026-01-04,CUST-0233,부산,전자기기,모니터,store,3,25000,2000,point,false
ORD-000125,2026-01-04,CUST-0242,서울,식품,비타민음료,store,1,18000,5000,point,false
ORD-000126,2026-01-04,CUST-0333,대구,식품,간편식,web,4,6000,5000,bank_transfer,false
ORD-000127,2026-01-04,CUST-0121,광주,전자기기,무선이어폰,web,4,79000,0,coupon,false
ORD-000128,2026-01-04,CUST-0454,대구,생활용품,책상조명,store,5,37000,5000,card,false
ORD-000129,2026-01-04,CUST-0112,대구,생활용품,청소도구,mobile,1,23000,5000,bank_transfer,false
ORD-000130,2026-01-04,CUST-0032,대구,패션,티셔츠,mobile,5,89000,5000,bank_transfer,false
ORD-000131,2026-01-04,CUST-0498,서울,전자기기,모니터,web,2,25000,5000,point,true
ORD-000132,2026-01-04,CUST-0301,경기,도서,파이썬기초,web,1,22000,2000,point,false
ORD-000133,2026-01-04,CUST-0129,인천,도서,클라우드입문,web,2,28000,0,card,true
ORD-000134,2026-01-04,CUST-0302,부산,스포츠,요가매트,web,1,24000,0,bank_transfer,false
ORD-000135,2026-01-04,CUST-0382,서울,패션,티셔츠,mobile,4,49000,2000,coupon,false
ORD-000136,2026-01-04,CUST-0023,대전,패션,티셔츠,store,5,129000,0,point,true
ORD-000137,2026-01-04,CUST-0352,서울,생활용품,수납박스,mobile,4,9000,1000,coupon,false
ORD-000138,2026-01-04,CUST-0065,부산,전자기기,무선이어폰,store,5,79000,0,point,false
ORD-000139,2026-01-04,CUST-0051,인천,생활용품,책상조명,store,5,37000,2000,card,false
ORD-000140,2026-01-04,CUST-0174,인천,스포츠,덤벨,mobile,4,59000,0,coupon,false
ORD-000141,2026-01-05,CUST-0192,경기,스포츠,요가매트,store,4,39000,0,coupon,false
ORD-000142,2026-01-05,CUST-0382,대전,전자기기,무선이어폰,mobile,1,25000,1000,bank_transfer,false
ORD-000143,2026-01-05,CUST-0448,대전,식품,커피,mobile,1,18000,1000,card,false
ORD-000144,2026-01-05,CUST-0109,경기,패션,자켓,store,1,89000,2000,coupon,true
ORD-000145,2026-01-05,CUST-0391,부산,도서,클라우드입문,store,5,28000,0,bank_transfer,false
ORD-000146,2026-01-05,CUST-0360,인천,생활용품,수납박스,mobile,1,23000,0,point,false
ORD-000147,2026-01-05,CUST-0036,경기,패션,티셔츠,store,2,49000,2000,card,false
ORD-000148,2026-01-05,CUST-0175,경기,전자기기,USB허브,mobile,4,45000,1000,point,false
ORD-000149,2026-01-05,CUST-0387,광주,스포츠,운동밴드,web,1,12000,0,card,false
ORD-000150,2026-01-05,CUST-0213,부산,패션,가방,web,4,129000,2000,card,false
ORD-000151,2026-01-05,CUST-0250,광주,패션,가방,store,3,19000,5000,point,true
ORD-000152,2026-01-05,CUST-0105,부산,전자기기,키보드,web,5,150000,0,bank_transfer,false
ORD-000153,2026-01-05,CUST-0383,대구,패션,자켓,web,1,89000,0,bank_transfer,false
ORD-000154,2026-01-05,CUST-0224,서울,생활용품,텀블러,mobile,1,23000,1000,card,false
ORD-000155,2026-01-05,CUST-0208,서울,패션,가방,mobile,4,129000,0,bank_transfer,false
ORD-000156,2026-01-05,CUST-0125,대구,식품,비타민음료,store,1,18000,1000,coupon,false
ORD-000157,2026-01-05,CUST-0114,부산,식품,커피,web,3,26000,5000,card,false
ORD-000158,2026-01-05,CUST-0121,서울,식품,커피,web,3,11000,0,point,false
ORD-000159,2026-01-05,CUST-0238,인천,도서,파이썬기초,store,1,22000,0,coupon,false
ORD-000160,2026-01-05,CUST-0241,대구,스포츠,운동밴드,store,2,39000,1000,point,false
ORD-000161,2026-01-05,CUST-0237,대구,패션,티셔츠,web,5,89000,0,card,false
ORD-000162,2026-01-05,CUST-0260,대구,패션,자켓,mobile,1,19000,2000,card,true
ORD-000163,2026-01-05,CUST-0078,서울,생활용품,텀블러,mobile,5,23000,1000,card,true
ORD-000164,2026-01-05,CUST-0225,광주,패션,티셔츠,store,1,49000,0,bank_transfer,false
ORD-000165,2026-01-05,CUST-0348,광주,패션,자켓,web,4,89000,1000,point,false
